Sentence,Label
hari rabu  juni  mes kamera sony a hitam promo rabucantik blibli com yg janji kirim tanggal  juni sampai senin status pesan siap senin siang terima email status barang sedia ganti warna putih segera crosscheck website barang cantum sedia tidak promo harga mahal mes  unit sekaligus dengan bukti barang kirim sesuai pesan warna hitam tapi blibli pilih batal pesan sebut sungguh itikad konsumen telanjur bayar bukti ketidakprofesionalan blibli vendor tangan pesan,positive
bukalapak enk belanja i like bukalapak,positive
apakah lazada batal beli salah dri lazada sendiri bayar etis barang yg bayar tarik iming voucher minta maaf via email uang yg transfer lazada voucher kembali dana voucher mana yg nama proteksi langgan  salah dri lazada saya jual lazada profesional bukti siap,negative
quality control ny tdk teliti yg kuning ada lubang ny sedikit,negative
proses kirim jalan baik coba tukar size vipplaza tanggung sepatu promo sepatu promo lagi kecewa,negative
saya belanja blibli com tanggal  desember  promo diskon  hutbri nomor pesan private info removed status pesan tgl  msh tunggu ambil kurir apa iya  hr kurir utk pick up pesan saya apa gratis kirim jd kurir pickup pesan dgn jalan kaki jd buth hari ngambil pesan saya  x lapor costumer service jawab jadwal pick up tgl  desember tp tgl  desember blm jg pickup suruh nunggu sampe tlg  desember ini alam belanja blibli com kesan buruk tidak toko online belah kaya la da co id bhinn a com respon cepet ga pake nunggu lama respon cs cepet klo komplain tindak lanjut,negative
warna salah pesan warna hitam dapat warna putih,negative
banyak voucer nya,positive
its so easy to shooping,positive
maksut untung mes barang lazada,negative
it has the best top up provider for phone electricity the bad things is if we want complain there us no customer service phone to contact to only email which is troublesome,positive
kecewa krn barang di dlm box ketika dibuka sudah pecah botol pecah dibagian bawah sehingga isinya tdk ada yg tersisa,negative
mataharimall ecommerce bilang cepat tumbuh beberapa orang sekitar familiar mataharimall online campaign nya tarik kena banget,positive
tempat belanja aman nyaman praktis,positive
moga webnya g down para mengahirkan lapak lapak kompten percaya,positive
sudah banyak teman saya tipu situs ini tindak olx tangan kasu sebut verifikasi jual gampang sekali baik layan verifikasi jual ketat olx silah search google tipu olx ribu terttipu situs nama tokobagus maaf tulis fakta ini,negative
shipping was on time the item being delivered was exactly like the description and the picture,positive
lamaa pengiriman,negative
jangan nipu konsumen donk balikin lg aj uang nya pesan hp tgl  nympe tgl  pas buka hp nya kondisi rusak dan cek imei nya double sial banget hp replika bbm app word gda i d nya tolong donk tanggung,negative
gimana mengrefund hotel tp pesan td menggunaka akun,negative
belanja mudah cepat aman uang order layan belanja kuatir kena tipu layan cs tanggap komplain baik recommended online shop,positive
mau free ongkirnya sy mesan vacum cleaner di item barang yg sy pilih free ongkir indonesia tp sy bayar knp muncul ongkirnya ya dan ongkirnya lumayan mahal rban sy free ongkir utk produk sj stlh sy check tentu free ongkirnya utk produk vacum cleaner yg sy beli dlm item yg free ongkir kok jd knp ya utk brg yg sy beli kena ongkir ya mhn info tks,negative
beli jual aman barang waktu sesuai kondisi wilayah pilih kurir sesuai juga lapak nya barang blm buka lapak buka lapak mantab depan maju jaga kualitas lapak lapak nya seler konsumen nya mantab,positive
kecewa aja sih sama kebijakan tokonya huhu,negative
barang pecah,negative
its free in sending goods and fast too good job,positive
variant barang banyak lengkap kwalitas barang percaya sistem jalan baik pd sistem bayar ga masuk tambah products yg beli ato terang warna dst nya estimasi bayar lapak kirim order aja lapak percaya yg nyeleneh point penting lapak komunikatif mudah kontak dan ga pelit info barang yg jual karna gambar ga dimensi nya realita dan ga jg copas jd kenal barang yg jual maklum copas sih begitu jg packaging dirapihkan kuat aman deh sistem tangan komplen lapak buka lapak tolong baik satu kali karna salah sistem invoice terima proses kirim pdhal ga pesan barang terima bayar karna ga butuh balikin bl janji dibalikin duit kirim balik nol besar trust tinggal nunggu komitmen urus bl bln tp ga langsung ga percaya ama bl saya belanja bl untuk harga tolong jangan cantum aja discount segitu aja saya hapal karna tiap liat barang yg difaforitkan markup trus tulis sale xixixixixixi tau deh fitur nego jangan hilang yeaaa malah kalo sempat nego kali tp tiap beda barang fitur nego tetep pakai jd ga ragu blanja nya kalo bl dan proactive kontrol lapak dan kurir transaksi yg langsung sekian deh maju inofatif variatif kembang,positive
barang waktu cair buka dompet gak pake lama semua butuh sini,positive
tak sesuai gambar ini gada dijahit cuman disambung pake obras bahannya tipis kecewa,negative
blibli com mantap kirim cepat gratis bisa cicil,positive
i love matahari mall thanks for good service trusted company to you,positive
suatu puas sendiri  belanja blibli com free ongkos kirim minimum beli layan ramah barang yg sy order lindung smartphone kondisi harap moga depan blibli promo takjub yg gak ngomong saking shock surpriseenya ya tunggu promo hebat jaya blibli com team partner penjuru indonesia bravo kaya blibli,positive
layan muas,positive
sbg pt hrs y malu order hilang wkt kirim suruh tunggu tunggu dan berbelit dgn alasan yg ada cm janji palsu refund aja mas suruh tunggu smp bulan aja mas blm kelar mslhnya hrsnya beli utama dlu dikecewain qta belanja bayar dgn uang minta buat agan yg belanja blibli mndng olshop lain pikir sblm beli,negative
web bikin stress,negative
sangat kecewa pengiriman lama banget barang nya juga rusak dan penyok jangan tergiur sama harga murah ya temanteman,negative
matras nya ada sobek,negative
semua buka lapak baik pesan qty  ongkirnya kali  harga sama,positive
salah kirim bos dikirim yang menthol mana rasa mentholnya strong banget lg overpower di mulut ngilangin rasa tembakaunya,negative
lumayan biar pelayanan ala kadarnya tapi di saat main kadang layar loss signal dari wii console nya trus kenapa harus beli hardisk yang begitu besar kalau isi game cuma gb,negative
bukalapak bagus kena barang kualitas bagus kirim tuju waktu,positive
bahan kulitnya panas kursi kurang empuk standar aj,negative
saya suka belanja jamin aman lapak ok thank s bukalapak maju sukses selalu,positive
barang ready,positive
karungnya lbh byk yg rusak drpd yg bagusnya ga bs dipakai buat beras lg,negative
saat diterima kotak sudah kebuka ada  botol yang gak ada tutupnya,negative
tanggal  april  order hp lg g stylus lauk transfer saya konfirmasi bayar serta bukti trasfer namun tanggal  april  barang pesan diverivikasi jelas kirim saya konfirmasi customer servise tanggap muas padahal duludulu order lazada kirim  kenapa servis buruk mohon lazada profesional langgan kecewa rugi materi,negative
bukalapak ok lengkap ok klo ngga biaya adminnya,positive
bagus kok barang packaging tarik kirim cepat,positive
bukalapak aplikasi yg sy download prioritas sy belanja online mudah variatif akurat dlm sampai informasi mohon layan adu yg lbh fleksibel,positive
moga matahari mall baik,positive
ini nomer pesan saya  dana refund  bulan rasa lelah nya emis blibli com terang nya gana muas blnja nya terlalu kecewa banding lancar paket terima saran barang nya pasang iklan dan kasih barang rekondisi konsumen tingkat mersa kapok bnlja sini jadi ragu dgn respon piahk blibli lambat urus sampai tunggu  buln dana refund nya slsai tapi terang brpa di refund blibli com isi surat email nominal nya malah biling kartu kredit  dana payment keluar dana   terang nya tidk biling nama refund bli com minta ke pada bliibli com lapor nominal di email saya dana yang di refund itu berapa karna angka sana cuma refund blibli com tolong di respon agar percaya saya kembali di blibli com belanja terima kasih fast respon,negative
tulisannya gb tapi isinya cuma gb disuruh di cek kagak di cek cape dweh,negative
saya belanja lazada lama benlanja lazada layan tangung jawab kirim sesuai layan free ongkir lazada bertangung jawab olshop yg jasa kirim bayar sampai lazada dekat raya lazada usaha waktu kembali dana finance lazada cepat menagapinya salut layan lazada denagn dukung layan custumers service usaha layan  jam sukses lazada,positive
seller menggapangkan dan menyepelekan pembeli pengiriman lama pelayanan tidak memuaskan seller bilang �wajar lah lama dikirim kan barang diskon� sudah lama dikirim pas di pick up gagal pick up tidak di follow up lg sama seller sampai saya complain baru di kerjain untuk kirim kualitas barang standar intinya saya bisa beli dimana saja barang sejenis tp sangat menyesal berhubungan dengan seller seperti ini,negative
tolong kreatif luar ga takut marketplace olx versi user friendly olx gali kubur,negative
cheapest and complete ecommerce,positive
sepertinya bukan gepuk fresh rasanya gak enak dan  hari kemudian dah berjamur sayang bgt padahal beli banyak dibuang semua deh,negative
tingkat mudah langgan,positive
aplikasi downgrade,negative
proses dari pembelian ke pengiriman lamaaaaaaaaaaa admin gak sopan slow respon ancur parah nihh toko,negative
it s great because many people buy there with lower price than another olshop,positive
packing perbaiki buku datang sudah penyok,negative
seller tanggung jawab pesan sesuai gambar  beda terima retur refund ajak customer perang oke input negatif seller media lain tokopedia tolong kembali uang saya,negative
sudah lengkap pokok,positive
beli dua rencana nya buat jaga jaga kalo salah satu nya rusak eh bener aja dua dua nya gak mau nyolok stik ps dengan sempurna ke converter nya mau retur produk udah kadung males untuk penjual sebelum kirim barang tolong dong di qc lebih maksimal lagi,negative
parah respon nya butuh  hr sejak order baru dikirim granola nya jg ancur semua,negative
tidak bisa di register call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit,negative
kualitas lcd sangat tipis sehingga home button jadi lebih tinggi dari pada layar respond cepat tetapi admin tidak menjawab pertanyaan saya dengan benar,negative
mau cara meembatalkan pesan gmn ya soal udah kirim email blm batal,negative
bad,negative
voucher promonya tarik sangat suka belanja butuh blibli com,positive
pesan terima terima kasih blibli com respon cepat nya,positive
cara bayar mudah,positive
i like tokopedia because very trusted it so many seller and surely price is cheaper more than other company i am loyal customers tokopedia be succes tokopedia and give all the best your customer always thanks tokopedia,positive
kirim barang lambat professional,negative
gak jelas,negative
respon bagus recomended beli baju merek,positive
saya pakai bukalapak belanja onlineshop aman transaksi gak takut tipu pilih seller banyak harga agam murah top banget,positive
tidak ada outer box  fastener padahal sudah di note untuk dipastikan ke komponen lengkap barang sudah banyak goresan  segel kertas sobek padahal rencana mau pesen banyak buat souvenir,negative
beli bola nike kondisi bagus barang ga stock uang kembali ga pake ribet transfer balik recommended seller,positive
ga teliti membaca requestku minta nya lemon knp yg dikirim summer linen,negative
ga berfungsi kecewa bgt,negative
halo victor magelang saya order zalora  items sistem cod so far zalora sedia sistem cod barang kecuali atas  juta harga oke barang puji tuhan cacat packaging rapi barang tukar kembali refund uang kirim area magelang via jne cepat  kali via rpx gagal status exception limpah jne dan bikin zalora unggul program brand ambassador komisi voucher diskon  teman saudara coba online shopping https www zalora co id sila kode voucher zbaplp dapat diskon  beli pertama langgan beli barang jual oleh zalora kode voucher beli barang jual reseller rincian barang tulis kode voucher laku produk ini kode promo aplikasi good job zalora,positive
layan sekali lapak bukalapak com semua putar barang beli muas proses kirim barang cepat jauh bantu cari barang butuh,positive
console sebelah kanan analoq ya drift sendiri lecet juga ng recommend deh kapok,negative
pricenya harap senang customers anyway akun langgan recently susah access unable at all,negative
saya masuk akun lazada saya klik lupa password tp kirim link email saya saya telp cs lazada jawab suruh tunggu yg urus saya coba akun baru tp email jd tdk bisa suruh akun dgn email baru justru masuk akun batal anggota akun lazada tapi telepon bank mandiri pakai kartu kredit belanja lazada masuk akun saya saya batal blokir kartu kredit saya simpul lazada aman sistem aman jadi ds verifikasi sblmnya tidak saya saran beli lazada,negative
easy shopping,positive
i think this online shop so great and fast response,positive
bantu laku wirausaha pasar tingkat jual produk inspirasi motivasi pemuda buka usaha mandiri fiturfitur bukalapak com kurang bingung cari kurang hahaha,positive
proses transaksi mudah harap moga lapak laris manis amin,positive
paling enak belanja bukalpak aplagi pas even diskon,positive
saya kali transaksi blibli com pesan sesuai estimasi janji tapi saran beli barang kadarluasa beli blush on kosmetik pas cek kadarluasanya tinggal  situ sedih akhir beli jam tangan fossil program cicil  kartu kredit tgl order  april estimasi barang terima tgl  april dan terima barang tgl  april jadi khawatir belanja online blibli com masuk blibli com update proses transaksi konfirmasi pesan konfirmasi bayar konfirmasi barang kirim konfirmasi no resi konfirmasi barang sampai terima kasih,positive
sangat cepat teliti detail,positive
lancar kendali ribet bandara bayar yg fleksibel nyaman jalan,positive
barang jelek sesuai harga,negative
pengiriman lama udh gt gaktau deh bener atau gak admin nya wa aku blgnya warna jilbab yg ku pesan hbs trs ak udh pilih warna lain tp ujungnya yg dtg ttp aja warna yg kupilih awal knp bgtu ya kalo ada stocknya knp hrs berbelit smakin lama pengirimannya statusnya gagal trs lama bgt biasanya dari bandung gak selama ini ini krn adminnya japri di wa berbelitbelit barang diskon ya gak gini juga lah hrs sama pelayanan nya jgn bikin kecewa,negative
sudah  kali beli barang dizalora aman beli pas event harbolnas eh salah beli baju pria sepatu wanita bingung nama alamat nama saya eh isi salah produk wanita,positive
bl menaggapi complain negatif lapak emai jawab suruh dilink hadeh dan fanpage kampanye politik nya,negative
beli produk xiomi redmi note  white ram  gb rom gb nomor order private info removed sandisk ultra micro sdhc memory card gb  mbps class  nomor order private info removed h  barang kirim status tunggu ambil kurir ambil kurir cs  kali harap tunggu tanggal  desember kota sih pelopor e commerce konsep mall indonesia layan banding situs mohon pasti,negative
pesanan tidak sesuai barang yang dipesan adalah merk gm bear warna putih tapi yang dikirim merk buck warna hitam saya sangat kecewa,negative
barang tokopedia tegah,positive
saya kali beli barang bukalapak januari april  earphone sennheiser jaket gelang giok alhamdulillah lancar aman barang kirim sesuai deskripsi respon jual lambat hal maklum bukalapak hubung beli jual sibuk sang jual beda beda tips saya pilih jual feedback muas,positive
alam gw belanja blibli com karna belanja lapak belah gw percaya karna iklan naung usaha lumayan indonesia tanggal  october gw beli nomor pesan private info removed smp tanggal  oktober barang bom nyampe tangan gw hubungin cs blibli kurir batas kirim sih sampe tanggal  november gw sih mas sabar aja nunggu sampe tanggal bom sampe barang tangan gw terpksa gw tuntut blibli ayo deh basa smp bom proses sm blibli biar laporin aja nih usaha kalo ga tanggung jawab terimakasih,negative
alam ke tokopedia buruk sistem website kacau jadi gagal proses bayar metode mandiri clickpay saldo potong response customer service lambat serius ini parah  saldo balik dasar terang website uang saldo tokopedia  jam customer service sama tapi nyata gantung kamis  agustus  s d sabtu  agustus  jika larut lapor polisi uang transfer sedikit   juta sedikit,negative
very trusted,positive
barang nya gak saya terima tibatiba saja ada nama penerima nya  kecewa banget jadi nya walaupun si grtis dari penggunaan pertama tokopedia tapi kalau begini kan jadi males buat gunain tokopedia,negative
contoh yg jenis produk pilih harga yg variasi dr yg mahal yg murah perlu tulis nomor kontak seller komunikasi langsung contoh yg susah klaim barang yg beli sesuai harap,positive
senang beli maxim udah murah packing ok gak peyok rapi banged cocok dehh pokok gak nyesel belanja blibli suka bangettty mantapp,positive
tdk sesuai pesanan,negative
rasanya gak spt biasanya pembelian yg ke  ini asin kebangetan  udah gitu packingannya cuma dibuble wrap tdk diberi dos spt biasanya sehingga kripiknya banyak yg hancur,negative
beli tiket pesawat or pesan hotel mudah murah cepat,positive
very good,positive
mataharimall com provide good product and good quality,positive
the culture is awesome,positive
suara noise seperti saat sedang mencari saluran radio dan agak meletup sangat mengganggu padahal sedang berada pada mode bluetooth untuk mendengarkan musik bikin sakit telinga,negative
