Sentence,Label
bebas tipu,positive
nama budi sanjaya konsumen regular lazada lazada bs cek data beli saya tp dr tgl  nov  solusi real sy beli barsng via lazada nomer  apple ipad mini casing nya yg casing nya detik ipad tdk ada kali kali sy sdh hubung lazada rim email yg mohon maaf lacak ada unit nya bukan email yg solusi sini solusi nyata  bulan solusi apa parah com,negative
saya order lazada kali tp cawak  sy order keyboard logitech mk tp yg kirim k yg lbh murah  sy order screen guard merk kinkong tp yg dtg palsu komplen krn klik produk sdh hilang sdh tdk ada jd utk ko plen cek nama jual tdk bisa  order pulsa lazada online nasional pulsa rb jd rb tp saatbsy klik ttp motong sy cek fb byk komplen yg dgn  sy order sepatu disc  brg  murah lazada ultah lazada semua tolak pembeitahuan salah dlm tulis harga bayar sy tdk verifikasi pdhl sy pke bca virtuall account yg tnpa konfirmasi lgsung masuk saya kapoo sy rekomendasi klo promo lazada payah tp kalo kirim lumayan cepat ramah costumer service lambat kembali dana refund lambat,negative
kait beli produk nomor order private info removed kamis ganteng  lenovo yoga  rgid hitam laptop in  touch iu nvidia  gb win  kualitas produk harga lumayan bagus  kecewa beli produk ini karena alam kali beli  buah laptop segi harga mahal serta tas laptop meski harga tas kecewa ulang kali tunggu final nihil muas cs padahal blibli com ecommerce favorit grade membernya pesan kirim tuju selamat aman harap depan moga keluh tampung selesai cari solusi baik konsumen karena percaya penuh harga kualitas produk blibli com moga review maju blibli com best regards chandra,negative
sangat percaya sistem belanja bayar mudah aman barang tuju barang tawar kualitas sesuai deskripsi gambar respon layan vipplaza cepat bantu,positive
tiket com iklan promo kartu kredit bca citilink beli senin ttp kode promo cantum shr customer asumsi deduct langsung sdh selesai bayar tidak krn customer service masuk kode promo mana kode promo cantum aplikasi website ttp cs ngotot sudah,negative
saya pesan tiket jogja jakarta kelas bisnis kasih duduk yg hadap udah gitu yg kursi hadap  gerbong mikir yg milihin duduk haruss lihat nyaman cutomer lu dasar tololl,negative
tgl  sept  sy order philips avent no order  tgl  sept  order sy tp cacat produk sy kembali blibli pd tgl  sept  blibli aku bhw produk tsb cacat sy refund dana tgl  sept  blibli janji dana masuk rekening sy bpdkal m dlm  kerja dr  kerja dana tdk masuk tgl  october  sy info bhw bank tuju bpdkal m kendala menrima transfer entah mengapa sy rek yg sy ganti dg rek bank br dr tgl  okto  smpai  okto  dana sy masuk jg mohon blibli itikad benar kembali dana sy,negative
kena email isi e tiket langsung kirim kasih informasi tiket com kalo bayar laku ini tungu ikut,negative
beli barang tanggal  november  tolak jual stok habis dana bayar sy kunjung kembali toped sy komplain kembali limit kartu kredit maksimal  kerja padahal sy pakai kartu debit mulaijengkel tanggal  desember  sy email dana kembali cek rekening zonk komplain lagi kembali maksimal  kerja hingga detik  januari  ganti tahun kembali dana realisasi kapok agar hati transaksi toped lapak yg nyaman,negative
pesan sepatu tgl  feb  estimasi kirim tgl  sd  feb  tunggu sd tgl  feb  gak datang komplain cs tunggu sd tgl  feb  kurang jam   email barang proses kirim via tik resi private info removed jam   menit email pesan batal alas produk habis jual uang direfund nunggu  sd  kerja sungguh aneh situs online lazada buat profesional tipu langgan no resi tik palsu hati belanja situs lazada ini,negative
id order   lebih bayar tiket konfirmasi tiket com sdh kirim bukti bayar serta terang konfirmasi email terima  jam stlh cs telepon dmn harga tiket  id order   sdh kirim bukti bayar hari belum kofirmasi via telepon x email order hasil serta kode bookingbya terima  menit kereta berangkat itu telepon dahulu dandung,negative
beli sepatu merek adidas harga murah kompetitor outlet di websitenya tera jamin produk asli beli barang sesuai asli,negative
dear blibli ini kali belanja situs ecommerce ini saya beli iphone s gb grey garansi resmi saya tarik beli harga diskon tahun yang kecewa kirim lama saya bayar tanggal  desember  hingga tulis review status pesan proses kenapa sekali sedang beli ecommerce lain wilayah jabodetabek minggu bayar besok barang sampai moga depan layan blibli tingkat kirim barang turut saya proses kirim jabodetabek minggu sekali regards,negative
foto barang kualitas beda jauh berfikir ulang beli,negative
packing barang oke proses kirim sesuai informasi website laaaamaaaaa proses kirim dicompline tindaklanjuti terima kasih,negative
moga mudah pegang member cicil kartu kredit,positive
kemas rapi kirim cepat banyak promoooo,positive
super lelet kirim lazada gak sesuai estimasi live chat batal sampe  cs gw live jawab tunggu tdk batal  balas gak silah tdk terima beda banget sam zalora bukalapak kirim gak kayak super lelet mentang mentang ngasih biaya gratis kirim kali ya,negative
turut belanja blibli com proses lambat utama mes jumat maka selasa bayar verifikasi kemudian proses tunggu ambil kurir butuh hari siap kalo belanja blibli makan minggu atas lebih beli toko fisik sekarang bayar detik jg barang terima pesan private info removed tunggu ambil kurir pdhl pesan  mei  dan  mei  status tunggu ambil kurir kirim saran  blibli toko online baik mangkas proses makan lama harus blibli toko online saing kompetitif bahkan j id pesan besok antar meski begitu kapok belanja blibli hanya harap proses singkat mudah trims,negative
toko jual lazada update dicel lazada after sales service nya sehingga produk rusak diservice sesuai buku garansi,negative
bayar atm sedia sms banking bank bank bumn bni mandiri bank permata,negative
maaf dukung nista agama,negative
tanggal  beli barang blibi no pesan private info removed tanggal  barang sampai status kirim tunggu ambil kurir,negative
saat beli barang transaksi ada barang lapak yg sdh kosong mhn hilang gambar barang sebut agar dana kembali sehingga membutuhkn untk kembali dana rugi waktu trims,positive
kapokkk nggak lagi deh barang yg terima gambar yg kardus fisik beda nggak kartu garansi lg barang tiru sudah retur ganti barang ganti barang belum mau marah siapa,negative
saya complain krn ketidaksesuaian barang yg sy order raffa collection tokopedia sy coba masuk fitur resolusi sesuai langkah yg saran dr tokped tp conection time out terus sy koneksi wifi   mbps jaring masalah krn sy coba hasil sama hotline nya mana sy email lgsg tokped jg msh blm solusi saya complain lgsg jual respon serius padahal dr kirim logistik lambat  hari ylki bagaimana,negative
percaya dan murah,positive
beli air purifier tanggal  october  estimasi tanggal  october tunggu ambil kurir tunggu janji besok nyampe sampe aja kurir ambil mohon follow up nya team blibli moga aja barang nya pas nyampe sesuai harap ekspektasi kurang ni gara gara barang nyampe gin ssebelumnya tarik bgt ken belanja sini harap customer care blibli respon barang sesuai jadwal tentu barang nya sesuai terima kasih mohon tanggap,negative
assalamualaikum wr wb nggak ngasih rating sentengah bintang aja nih  suruh transfer cepet kerja lambat  credit card error bisa liat history order saya  kirim barang lambat butuh hari barang kirim beli uang kirim  nggak konfirmasi kalo barang sen bayar cancel gegara nggak lolos quality control tanya la barang nggak lolos qc pasang web gimana saharusnya jual liat barang kalo penuh standar dikeluarin  gegara no  uang  jt nggak balik  kerja lah transfer menit ulur bener aja dan  terima refund  jt vip plaza web diskon murah layan super payah minta maaf aja nggak banding terima alami enak ya,negative
tidak repot beli bayar tunggu barang rumah,positive
bilang langgan lazada sukanya belanja lazada barang jelek diem pas jengkelnya beli sepatu ukur buat adik eh kirim ukur  complain a o a o doang kek tai kapok lah gak lagi,negative
beli barang blibli com no pesan  tanggal  agustus  rencana barang kado ulang keponakan tanggal  agustus ter status tunggu ambil kurir cukup kecewa alam ini,negative
nanya cable usb ip jual lazada  ori,negative
tanggal  mei  saya order calista otaru  set lullabyluna no order private info removed yg terima  set kode resi jne private info removed tulis nilai barang   nila  set sms blibli com pesan selesai mohon verifikasi seller yg sangkut produk kirim seluruh  set produk yg kirim,negative
sudah  minggu status barang proses,negative
first time order kecewa konfirmasi pesan email lambat sudah barang kirim kemudian hubung customer support status barang respon hari padahal banding online shop lain sistem bagus layan muas i decide to cancel my order then,negative
